Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Age,Class
<0,critical/other existing credit,radio/tv,1169,unknown,>=7,67,good
0<=X<200,existing paid,radio/tv,5951,<100,1<=X<4,22,bad
no checking,critical/other existing credit,education,2096,<100,4<=X<7,49,good
<0,existing paid,furniture/equipment,7882,<100,4<=X<7,45,good
<0,delayed previously,new car,4870,<100,1<=X<4,53,bad
no checking,existing paid,education,9055,unknown,1<=X<4,35,good
no checking,existing paid,furniture/equipment,2835,500<=X<1000,>=7,53,good
0<=X<200,existing paid,used car,6948,<100,1<=X<4,35,good
no checking,existing paid,radio/tv,3059,>=1000,4<=X<7,61,good
0<=X<200,critical/other existing credit,new car,5234,<100,unemployed,28,bad
0<=X<200,existing paid,new car,1295,<100,<1,25,bad
<0,existing paid,business,4308,<100,<1,24,bad
0<=X<200,existing paid,radio/tv,1567,<100,1<=X<4,22,good
<0,critical/other existing credit,new car,1199,<100,>=7,60,bad
<0,existing paid,new car,1403,<100,1<=X<4,28,good
<0,existing paid,radio/tv,1282,100<=X<500,1<=X<4,32,bad
no checking,critical/other existing credit,radio/tv,2424,unknown,>=7,53,good
<0,no credits/all paid,business,8072,unknown,<1,25,good
0<=X<200,existing paid,used car,12579,<100,>=7,44,bad
no checking,existing paid,radio/tv,3430,500<=X<1000,>=7,31,good
no checking,critical/other existing credit,new car,2134,<100,1<=X<4,48,good
<0,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,44,good
<0,critical/other existing credit,new car,2241,<100,<1,48,good
0<=X<200,critical/other existing credit,used car,1804,100<=X<500,<1,44,good
no checking,critical/other existing credit,furniture/equipment,2069,unknown,1<=X<4,26,good
<0,existing paid,furniture/equipment,1374,<100,1<=X<4,60,good
no checking,no credits/all paid,radio/tv,426,<100,>=7,39,good
>=200,no credits/all paid,radio/tv,409,>=1000,1<=X<4,42,good
0<=X<200,existing paid,radio/tv,2415,<100,1<=X<4,34,good
<0,delayed previously,business,6836,<100,>=7,63,bad
0<=X<200,existing paid,business,1913,>=1000,<1,36,good
<0,existing paid,furniture/equipment,4020,<100,1<=X<4,27,good
0<=X<200,existing paid,new car,5866,100<=X<500,1<=X<4,30,good
no checking,critical/other existing credit,business,1264,unknown,>=7,57,good
>=200,existing paid,furniture/equipment,1474,<100,<1,33,good
0<=X<200,critical/other existing credit,radio/tv,4746,<100,<1,25,bad
no checking,critical/other existing credit,education,6110,<100,1<=X<4,31,good
>=200,existing paid,radio/tv,2100,<100,1<=X<4,37,bad
>=200,existing paid,furniture/equipment,1225,<100,1<=X<4,37,good
0<=X<200,existing paid,radio/tv,458,<100,1<=X<4,24,good
no checking,existing paid,radio/tv,2333,500<=X<1000,>=7,30,good
0<=X<200,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,26,good
0<=X<200,delayed previously,repairs,6204,<100,1<=X<4,44,good
<0,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,24,good
<0,critical/other existing credit,used car,6143,<100,>=7,58,bad
no checking,critical/other existing credit,new car,1393,<100,<1,35,good
no checking,existing paid,radio/tv,2299,500<=X<1000,>=7,39,good
<0,existing paid,used car,1352,500<=X<1000,unemployed,23,good
no checking,critical/other existing credit,new car,7228,<100,1<=X<4,39,good
no checking,existing paid,radio/tv,2073,100<=X<500,1<=X<4,28,good
0<=X<200,delayed previously,furniture/equipment,2333,unknown,<1,29,good
0<=X<200,delayed previously,used car,5965,<100,>=7,30,good
no checking,existing paid,radio/tv,1262,<100,1<=X<4,25,good
no checking,existing paid,used car,3378,unknown,1<=X<4,25,good
0<=X<200,delayed previously,new car,2225,<100,>=7,57,bad
no checking,no credits/all paid,new car,783,unknown,1<=X<4,26,good
0<=X<200,existing paid,radio/tv,6468,unknown,unemployed,52,bad
no checking,critical/other existing credit,radio/tv,9566,<100,1<=X<4,31,good
>=200,existing paid,new car,1961,<100,>=7,23,good
<0,critical/other existing credit,furniture/equipment,6229,<100,<1,23,bad
0<=X<200,existing paid,business,1391,<100,1<=X<4,27,good
0<=X<200,critical/other existing credit,radio/tv,1537,unknown,>=7,50,good
0<=X<200,no credits/all paid,business,1953,<100,>=7,61,bad
0<=X<200,no credits/all paid,business,14421,<100,1<=X<4,25,bad
no checking,existing paid,radio/tv,3181,<100,<1,26,good
no checking,existing paid,repairs,5190,unknown,>=7,48,good
no checking,existing paid,radio/tv,2171,<100,<1,29,good
0<=X<200,existing paid,new car,1007,>=1000,1<=X<4,22,good
no checking,existing paid,education,1819,<100,1<=X<4,37,bad
no checking,existing paid,radio/tv,2394,unknown,1<=X<4,25,good
no checking,existing paid,used car,8133,<100,1<=X<4,30,good
no checking,critical/other existing credit,radio/tv,730,unknown,>=7,46,good
<0,critical/other existing credit,other,1164,<100,>=7,51,good
0<=X<200,critical/other existing credit,business,5954,<100,4<=X<7,41,good
<0,existing paid,education,1977,unknown,>=7,40,bad
<0,critical/other existing credit,used car,1526,<100,>=7,66,good
<0,existing paid,radio/tv,3965,<100,<1,34,bad
0<=X<200,delayed previously,radio/tv,4771,<100,4<=X<7,51,good
no checking,no credits/all paid,used car,9436,unknown,1<=X<4,39,good
0<=X<200,existing paid,furniture/equipment,3832,<100,<1,22,good
no checking,existing paid,radio/tv,5943,unknown,<1,44,bad
no checking,existing paid,radio/tv,1213,500<=X<1000,>=7,47,good
no checking,existing paid,business,1568,100<=X<500,1<=X<4,24,good
<0,existing paid,other,1755,<100,>=7,58,good
<0,existing paid,radio/tv,2315,<100,>=7,52,good
no checking,critical/other existing credit,business,1412,<100,1<=X<4,29,good
0<=X<200,critical/other existing credit,furniture/equipment,1295,<100,<1,27,good
0<=X<200,existing paid,education,12612,100<=X<500,1<=X<4,47,bad
<0,existing paid,new car,2249,100<=X<500,4<=X<7,30,good
<0,no credits/all paid,repairs,1108,<100,4<=X<7,28,bad
no checking,critical/other existing credit,radio/tv,618,<100,>=7,56,good
<0,critical/other existing credit,used car,1409,<100,>=7,54,good
no checking,critical/other existing credit,radio/tv,797,unknown,>=7,33,bad
>=200,critical/other existing credit,furniture/equipment,3617,unknown,>=7,20,good
0<=X<200,existing paid,new car,1318,>=1000,>=7,54,good
0<=X<200,no credits/all paid,business,15945,<100,<1,58,bad
no checking,critical/other existing credit,education,2012,unknown,4<=X<7,61,good
0<=X<200,existing paid,business,2622,100<=X<500,1<=X<4,34,good
0<=X<200,critical/other existing credit,radio/tv,2337,<100,>=7,36,good
0<=X<200,delayed previously,used car,7057,unknown,4<=X<7,36,good
no checking,existing paid,new car,1469,100<=X<500,>=7,41,good
0<=X<200,existing paid,radio/tv,2323,<100,4<=X<7,24,good
no checking,delayed previously,radio/tv,932,<100,1<=X<4,24,good
0<=X<200,critical/other existing credit,furniture/equipment,1919,<100,4<=X<7,35,good
no checking,existing paid,used car,2445,unknown,<1,26,good
0<=X<200,critical/other existing credit,other,11938,<100,1<=X<4,39,bad
no checking,no credits/all paid,new car,6458,<100,>=7,39,bad
0<=X<200,existing paid,new car,6078,<100,4<=X<7,32,good
<0,existing paid,furniture/equipment,7721,unknown,<1,30,good
0<=X<200,existing paid,business,1410,500<=X<1000,>=7,35,good
0<=X<200,delayed previously,business,1449,100<=X<500,>=7,31,good
>=200,existing paid,education,392,<100,<1,23,good
0<=X<200,existing paid,new car,6260,<100,4<=X<7,28,good
no checking,critical/other existing credit,new car,7855,<100,1<=X<4,25,bad
<0,existing paid,radio/tv,1680,500<=X<1000,>=7,35,good
no checking,critical/other existing credit,radio/tv,3578,unknown,>=7,47,good
<0,existing paid,radio/tv,7174,unknown,4<=X<7,30,bad
<0,critical/other existing credit,furniture/equipment,2132,unknown,<1,27,good
<0,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,23,bad
0<=X<200,critical/other existing credit,new car,2366,500<=X<1000,4<=X<7,36,good
<0,existing paid,radio/tv,1835,<100,1<=X<4,25,bad
no checking,critical/other existing credit,used car,3868,<100,>=7,41,good
no checking,existing paid,furniture/equipment,1768,<100,1<=X<4,24,good
>=200,critical/other existing credit,new car,781,<100,>=7,63,good
0<=X<200,existing paid,furniture/equipment,1924,unknown,<1,27,bad
<0,critical/other existing credit,new car,2121,<100,1<=X<4,30,good
<0,existing paid,radio/tv,701,<100,1<=X<4,40,good
0<=X<200,existing paid,repairs,639,<100,1<=X<4,30,bad
0<=X<200,critical/other existing credit,used car,1860,<100,unemployed,34,good
<0,critical/other existing credit,new car,3499,<100,1<=X<4,29,bad
0<=X<200,existing paid,new car,8487,unknown,4<=X<7,24,good
<0,delayed previously,education,6887,<100,1<=X<4,29,bad
no checking,existing paid,furniture/equipment,2708,<100,<1,27,good
no checking,existing paid,furniture/equipment,1984,<100,1<=X<4,47,good
no checking,existing paid,radio/tv,10144,100<=X<500,4<=X<7,21,good
no checking,critical/other existing credit,radio/tv,1240,unknown,>=7,38,good
no checking,delayed previously,used car,8613,>=1000,1<=X<4,27,good
0<=X<200,existing paid,radio/tv,766,500<=X<1000,1<=X<4,66,bad
0<=X<200,critical/other existing credit,radio/tv,2728,unknown,4<=X<7,35,good
>=200,existing paid,radio/tv,1881,<100,1<=X<4,44,good
>=200,existing paid,new car,709,>=1000,<1,27,good
0<=X<200,existing paid,radio/tv,4795,<100,<1,30,good
<0,existing paid,radio/tv,3416,<100,1<=X<4,27,good
<0,existing paid,furniture/equipment,2462,<100,1<=X<4,22,bad
no checking,critical/other existing credit,furniture/equipment,2288,<100,<1,23,good
0<=X<200,no credits/all paid,business,3566,100<=X<500,4<=X<7,30,good
<0,critical/other existing credit,new car,860,<100,>=7,39,good
no checking,critical/other existing credit,new car,682,100<=X<500,4<=X<7,51,good
<0,critical/other existing credit,furniture/equipment,5371,<100,1<=X<4,28,good
no checking,critical/other existing credit,radio/tv,1582,>=1000,>=7,46,good
no checking,existing paid,radio/tv,1346,100<=X<500,>=7,42,good
no checking,existing paid,radio/tv,1924,<100,1<=X<4,38,good
>=200,existing paid,radio/tv,5848,<100,1<=X<4,24,good
0<=X<200,critical/other existing credit,used car,7758,>=1000,>=7,29,good
0<=X<200,delayed previously,business,6967,100<=X<500,4<=X<7,36,good
<0,existing paid,furniture/equipment,1282,<100,1<=X<4,20,bad
<0,critical/other existing credit,repairs,1288,100<=X<500,>=7,48,good
<0,no credits/all paid,retraining,339,<100,>=7,45,good
0<=X<200,existing paid,new car,3512,100<=X<500,4<=X<7,38,good
no checking,critical/other existing credit,radio/tv,1898,unknown,1<=X<4,34,good
no checking,critical/other existing credit,radio/tv,2872,100<=X<500,>=7,36,good
no checking,critical/other existing credit,new car,1055,<100,<1,30,good
no checking,existing paid,furniture/equipment,1262,500<=X<1000,4<=X<7,36,good
0<=X<200,existing paid,new car,7308,<100,unemployed,70,good
no checking,existing paid,new car,909,500<=X<1000,>=7,36,good
no checking,existing paid,furniture/equipment,2978,500<=X<1000,1<=X<4,32,good
<0,existing paid,furniture/equipment,1131,<100,unemployed,33,bad
