Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Class
<0,critical/other existing credit,radio/tv,1000<=Credit<2000,unknown,>=7,male single,67.0,skilled,good
0<=X<200,existing paid,radio/tv,5000<=Credit<6000,<100,1<=X<4,female div/sep/mar,22.0,skilled,bad
no checking,critical/other existing credit,education,2000<=Credit<3000,<100,4<=X<7,male single,49.0,unskilled resident,good
<0,existing paid,furniture/equipment,7000<=Credit<8000,<100,4<=X<7,male single,45.0,skilled,good
<0,delayed previously,new car,4000<=Credit<5000,<100,1<=X<4,male single,53.0,skilled,bad
no checking,existing paid,education,9000<=Credit<10000,unknown,1<=X<4,male single,35.0,unskilled resident,good
no checking,existing paid,furniture/equipment,2000<=Credit<3000,500<=X<1000,>=7,male single,53.0,skilled,good
0<=X<200,existing paid,used car,6000<=Credit<7000,<100,1<=X<4,male single,35.0,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,3000<=Credit<4000,>=1000,4<=X<7,male mar/wid/div/sep,61.0,unskilled resident,good
0<=X<200,critical/other existing credit,new car,5000<=Credit<6000,<100,unemployed,male mar/wid/div/sep,28.0,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,1000<=Credit<2000,<100,<1,female div/sep/mar,25.0,skilled,bad
<0,existing paid,business,4000<=Credit<5000,<100,<1,female div/sep/mar,24.0,skilled,bad
0<=X<200,existing paid,radio/tv,1000<=Credit<2000,<100,1<=X<4,female div/sep/mar,22.0,skilled,good
<0,critical/other existing credit,new car,1000<=Credit<2000,<100,>=7,male single,60.0,unskilled resident,bad
<0,existing paid,new car,1000<=Credit<2000,<100,1<=X<4,female div/sep/mar,28.0,skilled,good
<0,existing paid,radio/tv,1000<=Credit<2000,100<=X<500,1<=X<4,female div/sep/mar,32.0,unskilled resident,bad
no checking,critical/other existing credit,radio/tv,2000<=Credit<3000,unknown,>=7,male single,53.0,skilled,good
<0,no credits/all paid,business,8000<=Credit<9000,unknown,<1,male single,25.0,skilled,good
0<=X<200,existing paid,used car,12000<=Credit<13000,<100,>=7,female div/sep/mar,44.0,high qualif/self emp/mgmt,bad
no checking,existing paid,radio/tv,3000<=Credit<4000,500<=X<1000,>=7,male single,31.0,skilled,good
no checking,critical/other existing credit,new car,2000<=Credit<3000,<100,1<=X<4,male single,48.0,skilled,good
<0,existing paid,radio/tv,2000<=Credit<3000,500<=X<1000,1<=X<4,male single,44.0,skilled,good
<0,critical/other existing credit,new car,2000<=Credit<3000,<100,<1,male single,48.0,unskilled resident,good
0<=X<200,critical/other existing credit,used car,1000<=Credit<2000,100<=X<500,<1,male single,44.0,skilled,good
no checking,critical/other existing credit,furniture/equipment,2000<=Credit<3000,unknown,1<=X<4,male mar/wid/div/sep,26.0,skilled,good
<0,existing paid,furniture/equipment,1000<=Credit<2000,<100,1<=X<4,male single,60.0,unskilled resident,good
no checking,no credits/all paid,radio/tv,0<=Credit<1000,<100,>=7,male mar/wid/div/sep,39.0,unskilled resident,good
>=200,no credits/all paid,radio/tv,0<=Credit<1000,>=1000,1<=X<4,female div/sep/mar,42.0,skilled,good
0<=X<200,existing paid,radio/tv,2000<=Credit<3000,<100,1<=X<4,male single,34.0,skilled,good
<0,delayed previously,business,6000<=Credit<7000,<100,>=7,male single,63.0,skilled,bad
0<=X<200,existing paid,business,1000<=Credit<2000,>=1000,<1,male mar/wid/div/sep,36.0,skilled,good
<0,existing paid,furniture/equipment,4000<=Credit<5000,<100,1<=X<4,male single,27.0,skilled,good
0<=X<200,existing paid,new car,5000<=Credit<6000,100<=X<500,1<=X<4,male single,30.0,skilled,good
no checking,critical/other existing credit,business,1000<=Credit<2000,unknown,>=7,male single,57.0,unskilled resident,good
>=200,existing paid,furniture/equipment,1000<=Credit<2000,<100,<1,female div/sep/mar,33.0,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,radio/tv,4000<=Credit<5000,<100,<1,male single,25.0,unskilled resident,bad
no checking,critical/other existing credit,education,6000<=Credit<7000,<100,1<=X<4,male single,31.0,skilled,good
>=200,existing paid,radio/tv,2000<=Credit<3000,<100,1<=X<4,male single,37.0,skilled,bad
>=200,existing paid,furniture/equipment,1000<=Credit<2000,<100,1<=X<4,male single,37.0,skilled,good
0<=X<200,existing paid,radio/tv,0<=Credit<1000,<100,1<=X<4,male single,24.0,skilled,good
no checking,existing paid,radio/tv,2000<=Credit<3000,500<=X<1000,>=7,male single,30.0,high qualif/self emp/mgmt,good
0<=X<200,existing paid,radio/tv,1000<=Credit<2000,500<=X<1000,1<=X<4,male mar/wid/div/sep,26.0,skilled,good
0<=X<200,delayed previously,repairs,6000<=Credit<7000,<100,1<=X<4,male single,44.0,unskilled resident,good
<0,critical/other existing credit,used car,6000<=Credit<7000,100<=X<500,4<=X<7,male mar/wid/div/sep,24.0,skilled,good
<0,critical/other existing credit,used car,6000<=Credit<7000,<100,>=7,female div/sep/mar,58.0,unskilled resident,bad
no checking,critical/other existing credit,new car,1000<=Credit<2000,<100,<1,female div/sep/mar,35.0,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,2000<=Credit<3000,500<=X<1000,>=7,male single,39.0,skilled,good
<0,existing paid,used car,1000<=Credit<2000,500<=X<1000,unemployed,female div/sep/mar,23.0,unemp/unskilled non res,good
no checking,critical/other existing credit,new car,7000<=Credit<8000,<100,1<=X<4,male single,39.0,unskilled resident,good
no checking,existing paid,radio/tv,2000<=Credit<3000,100<=X<500,1<=X<4,female div/sep/mar,28.0,skilled,good
0<=X<200,delayed previously,furniture/equipment,2000<=Credit<3000,unknown,<1,male single,29.0,unskilled resident,good
0<=X<200,delayed previously,used car,5000<=Credit<6000,<100,>=7,male single,30.0,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,1000<=Credit<2000,<100,1<=X<4,male single,25.0,skilled,good
no checking,existing paid,used car,3000<=Credit<4000,unknown,1<=X<4,male single,25.0,skilled,good
0<=X<200,delayed previously,new car,2000<=Credit<3000,<100,>=7,male single,57.0,skilled,bad
no checking,no credits/all paid,new car,0<=Credit<1000,unknown,1<=X<4,male single,26.0,unskilled resident,good
0<=X<200,existing paid,radio/tv,6000<=Credit<7000,unknown,unemployed,male single,52.0,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,radio/tv,9000<=Credit<10000,<100,1<=X<4,female div/sep/mar,31.0,skilled,good
>=200,existing paid,new car,1000<=Credit<2000,<100,>=7,female div/sep/mar,23.0,high qualif/self emp/mgmt,good
<0,critical/other existing credit,furniture/equipment,6000<=Credit<7000,<100,<1,female div/sep/mar,23.0,unskilled resident,bad
0<=X<200,existing paid,business,1000<=Credit<2000,<100,1<=X<4,male mar/wid/div/sep,27.0,skilled,good
0<=X<200,critical/other existing credit,radio/tv,1000<=Credit<2000,unknown,>=7,male single,50.0,skilled,good
0<=X<200,no credits/all paid,business,1000<=Credit<2000,<100,>=7,male single,61.0,high qualif/self emp/mgmt,bad
0<=X<200,no credits/all paid,business,14000<=Credit<15000,<100,1<=X<4,male single,25.0,skilled,bad
no checking,existing paid,radio/tv,3000<=Credit<4000,<100,<1,female div/sep/mar,26.0,skilled,good
no checking,existing paid,repairs,5000<=Credit<6000,unknown,>=7,male single,48.0,skilled,good
no checking,existing paid,radio/tv,2000<=Credit<3000,<100,<1,female div/sep/mar,29.0,skilled,good
