Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Age and Credit / 100,Class
<0,critical/other existing credit,radio/tv,1169,unknown,>=7,male single,67,skilled,783.23,good
0<=X<200,existing paid,radio/tv,5951,<100,1<=X<4,female div/sep/mar,22,skilled,1309.22,bad
no checking,critical/other existing credit,education,2096,<100,4<=X<7,male single,49,unskilled resident,1027.04,good
<0,existing paid,furniture/equipment,7882,<100,4<=X<7,male single,45,skilled,3546.9,good
<0,delayed previously,new car,4870,<100,1<=X<4,male single,53,skilled,2581.1,bad
no checking,existing paid,education,9055,unknown,1<=X<4,male single,35,unskilled resident,3169.25,good
no checking,existing paid,furniture/equipment,2835,500<=X<1000,>=7,male single,53,skilled,1502.55,good
0<=X<200,existing paid,used car,6948,<100,1<=X<4,male single,35,high qualif/self emp/mgmt,2431.8,good
no checking,existing paid,radio/tv,3059,>=1000,4<=X<7,male mar/wid/div/sep,61,unskilled resident,1865.99,good
0<=X<200,critical/other existing credit,new car,5234,<100,unemployed,male mar/wid/div/sep,28,high qualif/self emp/mgmt,1465.52,bad
0<=X<200,existing paid,new car,1295,<100,<1,female div/sep/mar,25,skilled,323.75,bad
<0,existing paid,business,4308,<100,<1,female div/sep/mar,24,skilled,1033.92,bad
0<=X<200,existing paid,radio/tv,1567,<100,1<=X<4,female div/sep/mar,22,skilled,344.74,good
<0,critical/other existing credit,new car,1199,<100,>=7,male single,60,unskilled resident,719.4,bad
<0,existing paid,new car,1403,<100,1<=X<4,female div/sep/mar,28,skilled,392.84,good
<0,existing paid,radio/tv,1282,100<=X<500,1<=X<4,female div/sep/mar,32,unskilled resident,410.24,bad
no checking,critical/other existing credit,radio/tv,2424,unknown,>=7,male single,53,skilled,1284.72,good
<0,no credits/all paid,business,8072,unknown,<1,male single,25,skilled,2018,good
0<=X<200,existing paid,used car,12579,<100,>=7,female div/sep/mar,44,high qualif/self emp/mgmt,5534.76,bad
no checking,existing paid,radio/tv,3430,500<=X<1000,>=7,male single,31,skilled,1063.3,good
no checking,critical/other existing credit,new car,2134,<100,1<=X<4,male single,48,skilled,1024.32,good
<0,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,male single,44,skilled,1164.68,good
<0,critical/other existing credit,new car,2241,<100,<1,male single,48,unskilled resident,1075.68,good
0<=X<200,critical/other existing credit,used car,1804,100<=X<500,<1,male single,44,skilled,793.76,good
no checking,critical/other existing credit,furniture/equipment,2069,unknown,1<=X<4,male mar/wid/div/sep,26,skilled,537.94,good
<0,existing paid,furniture/equipment,1374,<100,1<=X<4,male single,60,unskilled resident,824.4,good
no checking,no credits/all paid,radio/tv,426,<100,>=7,male mar/wid/div/sep,39,unskilled resident,166.14,good
>=200,no credits/all paid,radio/tv,409,>=1000,1<=X<4,female div/sep/mar,42,skilled,171.78,good
0<=X<200,existing paid,radio/tv,2415,<100,1<=X<4,male single,34,skilled,821.1,good
<0,delayed previously,business,6836,<100,>=7,male single,63,skilled,4306.68,bad
0<=X<200,existing paid,business,1913,>=1000,<1,male mar/wid/div/sep,36,skilled,688.68,good
<0,existing paid,furniture/equipment,4020,<100,1<=X<4,male single,27,skilled,1085.4,good
0<=X<200,existing paid,new car,5866,100<=X<500,1<=X<4,male single,30,skilled,1759.8,good
no checking,critical/other existing credit,business,1264,unknown,>=7,male single,57,unskilled resident,720.48,good
>=200,existing paid,furniture/equipment,1474,<100,<1,female div/sep/mar,33,high qualif/self emp/mgmt,486.42,good
0<=X<200,critical/other existing credit,radio/tv,4746,<100,<1,male single,25,unskilled resident,1186.5,bad
no checking,critical/other existing credit,education,6110,<100,1<=X<4,male single,31,skilled,1894.1,good
>=200,existing paid,radio/tv,2100,<100,1<=X<4,male single,37,skilled,777,bad
>=200,existing paid,furniture/equipment,1225,<100,1<=X<4,male single,37,skilled,453.25,good
0<=X<200,existing paid,radio/tv,458,<100,1<=X<4,male single,24,skilled,109.92,good
no checking,existing paid,radio/tv,2333,500<=X<1000,>=7,male single,30,high qualif/self emp/mgmt,699.9,good
0<=X<200,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,male mar/wid/div/sep,26,skilled,301.08,good
0<=X<200,delayed previously,repairs,6204,<100,1<=X<4,male single,44,unskilled resident,2729.76,good
<0,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,male mar/wid/div/sep,24,skilled,1484.88,good
<0,critical/other existing credit,used car,6143,<100,>=7,female div/sep/mar,58,unskilled resident,3562.94,bad
no checking,critical/other existing credit,new car,1393,<100,<1,female div/sep/mar,35,high qualif/self emp/mgmt,487.55,good
no checking,existing paid,radio/tv,2299,500<=X<1000,>=7,male single,39,skilled,896.61,good
<0,existing paid,used car,1352,500<=X<1000,unemployed,female div/sep/mar,23,unemp/unskilled non res,310.96,good
no checking,critical/other existing credit,new car,7228,<100,1<=X<4,male single,39,unskilled resident,2818.92,good
no checking,existing paid,radio/tv,2073,100<=X<500,1<=X<4,female div/sep/mar,28,skilled,580.44,good
0<=X<200,delayed previously,furniture/equipment,2333,unknown,<1,male single,29,unskilled resident,676.57,good
0<=X<200,delayed previously,used car,5965,<100,>=7,male single,30,high qualif/self emp/mgmt,1789.5,good
no checking,existing paid,radio/tv,1262,<100,1<=X<4,male single,25,skilled,315.5,good
no checking,existing paid,used car,3378,unknown,1<=X<4,male single,25,skilled,844.5,good
0<=X<200,delayed previously,new car,2225,<100,>=7,male single,57,skilled,1268.25,bad
no checking,no credits/all paid,new car,783,unknown,1<=X<4,male single,26,unskilled resident,203.58,good
0<=X<200,existing paid,radio/tv,6468,unknown,unemployed,male single,52,high qualif/self emp/mgmt,3363.36,bad
no checking,critical/other existing credit,radio/tv,9566,<100,1<=X<4,female div/sep/mar,31,skilled,2965.46,good
>=200,existing paid,new car,1961,<100,>=7,female div/sep/mar,23,high qualif/self emp/mgmt,451.03,good
<0,critical/other existing credit,furniture/equipment,6229,<100,<1,female div/sep/mar,23,unskilled resident,1432.67,bad
0<=X<200,existing paid,business,1391,<100,1<=X<4,male mar/wid/div/sep,27,skilled,375.57,good
0<=X<200,critical/other existing credit,radio/tv,1537,unknown,>=7,male single,50,skilled,768.5,good
0<=X<200,no credits/all paid,business,1953,<100,>=7,male single,61,high qualif/self emp/mgmt,1191.33,bad
0<=X<200,no credits/all paid,business,14421,<100,1<=X<4,male single,25,skilled,3605.25,bad
no checking,existing paid,radio/tv,3181,<100,<1,female div/sep/mar,26,skilled,827.06,good
no checking,existing paid,repairs,5190,unknown,>=7,male single,48,skilled,2491.2,good
no checking,existing paid,radio/tv,2171,<100,<1,female div/sep/mar,29,skilled,629.59,good
0<=X<200,existing paid,new car,1007,>=1000,1<=X<4,male mar/wid/div/sep,22,skilled,221.54,good
no checking,existing paid,education,1819,<100,1<=X<4,male single,37,skilled,673.03,bad
no checking,existing paid,radio/tv,2394,unknown,1<=X<4,female div/sep/mar,25,skilled,598.5,good
no checking,existing paid,used car,8133,<100,1<=X<4,female div/sep/mar,30,skilled,2439.9,good
no checking,critical/other existing credit,radio/tv,730,unknown,>=7,male single,46,unskilled resident,335.8,good
<0,critical/other existing credit,other,1164,<100,>=7,male single,51,high qualif/self emp/mgmt,593.64,good
0<=X<200,critical/other existing credit,business,5954,<100,4<=X<7,female div/sep/mar,41,unskilled resident,2441.14,good
<0,existing paid,education,1977,unknown,>=7,male single,40,high qualif/self emp/mgmt,790.8,bad
<0,critical/other existing credit,used car,1526,<100,>=7,male single,66,high qualif/self emp/mgmt,1007.16,good
<0,existing paid,radio/tv,3965,<100,<1,male single,34,skilled,1348.1,bad
0<=X<200,delayed previously,radio/tv,4771,<100,4<=X<7,male single,51,skilled,2433.21,good
no checking,no credits/all paid,used car,9436,unknown,1<=X<4,male single,39,unskilled resident,3680.04,good
0<=X<200,existing paid,furniture/equipment,3832,<100,<1,male mar/wid/div/sep,22,skilled,843.04,good
no checking,existing paid,radio/tv,5943,unknown,<1,female div/sep/mar,44,skilled,2614.92,bad
no checking,existing paid,radio/tv,1213,500<=X<1000,>=7,male single,47,skilled,570.11,good
no checking,existing paid,business,1568,100<=X<500,1<=X<4,female div/sep/mar,24,unskilled resident,376.32,good
<0,existing paid,other,1755,<100,>=7,female div/sep/mar,58,unskilled resident,1017.9,good
<0,existing paid,radio/tv,2315,<100,>=7,male single,52,unskilled resident,1203.8,good
no checking,critical/other existing credit,business,1412,<100,1<=X<4,female div/sep/mar,29,high qualif/self emp/mgmt,409.48,good
0<=X<200,critical/other existing credit,furniture/equipment,1295,<100,<1,female div/sep/mar,27,skilled,349.65,good
0<=X<200,existing paid,education,12612,100<=X<500,1<=X<4,male single,47,skilled,5927.64,bad
<0,existing paid,new car,2249,100<=X<500,4<=X<7,male single,30,high qualif/self emp/mgmt,674.7,good
<0,no credits/all paid,repairs,1108,<100,4<=X<7,male single,28,skilled,310.24,bad
no checking,critical/other existing credit,radio/tv,618,<100,>=7,male single,56,skilled,346.08,good
<0,critical/other existing credit,used car,1409,<100,>=7,male single,54,skilled,760.86,good
