Checking Status,Credit History,Purpose,Saving Status,Employment,Personal Status,Job,Age and Credit,Class
<0,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,783.23,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,1309.22,bad
no checking,critical/other existing credit,education,<100,4<=X<7,male single,unskilled resident,1027.04,good
<0,existing paid,furniture/equipment,<100,4<=X<7,male single,skilled,3546.9,good
<0,delayed previously,new car,<100,1<=X<4,male single,skilled,2581.1,bad
no checking,existing paid,education,unknown,1<=X<4,male single,unskilled resident,3169.25,good
no checking,existing paid,furniture/equipment,500<=X<1000,>=7,male single,skilled,1502.55,good
0<=X<200,existing paid,used car,<100,1<=X<4,male single,high qualif/self emp/mgmt,2431.8,good
no checking,existing paid,radio/tv,>=1000,4<=X<7,male mar/wid/div/sep,unskilled resident,1865.99,good
0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid/div/sep,high qualif/self emp/mgmt,1465.52,bad
0<=X<200,existing paid,new car,<100,<1,female div/sep/mar,skilled,323.75,bad
<0,existing paid,business,<100,<1,female div/sep/mar,skilled,1033.92,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,344.74,good
<0,critical/other existing credit,new car,<100,>=7,male single,unskilled resident,719.4,bad
<0,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,392.84,good
<0,existing paid,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,410.24,bad
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,1284.72,good
<0,no credits/all paid,business,unknown,<1,male single,skilled,2018,good
0<=X<200,existing paid,used car,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,5534.76,bad
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,skilled,1063.3,good
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,1024.32,good
<0,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,skilled,1164.68,good
<0,critical/other existing credit,new car,<100,<1,male single,unskilled resident,1075.68,good
0<=X<200,critical/other existing credit,used car,100<=X<500,<1,male single,skilled,793.76,good
no checking,critical/other existing credit,furniture/equipment,unknown,1<=X<4,male mar/wid/div/sep,skilled,537.94,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,824.4,good
no checking,no credits/all paid,radio/tv,<100,>=7,male mar/wid/div/sep,unskilled resident,166.14,good
>=200,no credits/all paid,radio/tv,>=1000,1<=X<4,female div/sep/mar,skilled,171.78,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,821.1,good
<0,delayed previously,business,<100,>=7,male single,skilled,4306.68,bad
0<=X<200,existing paid,business,>=1000,<1,male mar/wid/div/sep,skilled,688.68,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1085.4,good
0<=X<200,existing paid,new car,100<=X<500,1<=X<4,male single,skilled,1759.8,good
no checking,critical/other existing credit,business,unknown,>=7,male single,unskilled resident,720.48,good
>=200,existing paid,furniture/equipment,<100,<1,female div/sep/mar,high qualif/self emp/mgmt,486.42,good
0<=X<200,critical/other existing credit,radio/tv,<100,<1,male single,unskilled resident,1186.5,bad
no checking,critical/other existing credit,education,<100,1<=X<4,male single,skilled,1894.1,good
>=200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,777,bad
>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,453.25,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,109.92,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,high qualif/self emp/mgmt,699.9,good
0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male mar/wid/div/sep,skilled,301.08,good
0<=X<200,delayed previously,repairs,<100,1<=X<4,male single,unskilled resident,2729.76,good
<0,critical/other existing credit,used car,100<=X<500,4<=X<7,male mar/wid/div/sep,skilled,1484.88,good
<0,critical/other existing credit,used car,<100,>=7,female div/sep/mar,unskilled resident,3562.94,bad
no checking,critical/other existing credit,new car,<100,<1,female div/sep/mar,high qualif/self emp/mgmt,487.55,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,skilled,896.61,good
<0,existing paid,used car,500<=X<1000,unemployed,female div/sep/mar,unemp/unskilled non res,310.96,good
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,unskilled resident,2818.92,good
no checking,existing paid,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,skilled,580.44,good
0<=X<200,delayed previously,furniture/equipment,unknown,<1,male single,unskilled resident,676.57,good
0<=X<200,delayed previously,used car,<100,>=7,male single,high qualif/self emp/mgmt,1789.5,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,skilled,315.5,good
no checking,existing paid,used car,unknown,1<=X<4,male single,skilled,844.5,good
0<=X<200,delayed previously,new car,<100,>=7,male single,skilled,1268.25,bad
no checking,no credits/all paid,new car,unknown,1<=X<4,male single,unskilled resident,203.58,good
0<=X<200,existing paid,radio/tv,unknown,unemployed,male single,high qualif/self emp/mgmt,3363.36,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,2965.46,good
>=200,existing paid,new car,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,451.03,good
<0,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,1432.67,bad
0<=X<200,existing paid,business,<100,1<=X<4,male mar/wid/div/sep,skilled,375.57,good
0<=X<200,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,768.5,good
0<=X<200,no credits/all paid,business,<100,>=7,male single,high qualif/self emp/mgmt,1191.33,bad
0<=X<200,no credits/all paid,business,<100,1<=X<4,male single,skilled,3605.25,bad
no checking,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,827.06,good
no checking,existing paid,repairs,unknown,>=7,male single,skilled,2491.2,good
no checking,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,629.59,good
0<=X<200,existing paid,new car,>=1000,1<=X<4,male mar/wid/div/sep,skilled,221.54,good
no checking,existing paid,education,<100,1<=X<4,male single,skilled,673.03,bad
no checking,existing paid,radio/tv,unknown,1<=X<4,female div/sep/mar,skilled,598.5,good
no checking,existing paid,used car,<100,1<=X<4,female div/sep/mar,skilled,2439.9,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,unskilled resident,335.8,good
<0,critical/other existing credit,other,<100,>=7,male single,high qualif/self emp/mgmt,593.64,good
0<=X<200,critical/other existing credit,business,<100,4<=X<7,female div/sep/mar,unskilled resident,2441.14,good
<0,existing paid,education,unknown,>=7,male single,high qualif/self emp/mgmt,790.8,bad
<0,critical/other existing credit,used car,<100,>=7,male single,high qualif/self emp/mgmt,1007.16,good
<0,existing paid,radio/tv,<100,<1,male single,skilled,1348.1,bad
0<=X<200,delayed previously,radio/tv,<100,4<=X<7,male single,skilled,2433.21,good
no checking,no credits/all paid,used car,unknown,1<=X<4,male single,unskilled resident,3680.04,good
0<=X<200,existing paid,furniture/equipment,<100,<1,male mar/wid/div/sep,skilled,843.04,good
no checking,existing paid,radio/tv,unknown,<1,female div/sep/mar,skilled,2614.92,bad
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,skilled,570.11,good
no checking,existing paid,business,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,376.32,good
<0,existing paid,other,<100,>=7,female div/sep/mar,unskilled resident,1017.9,good
<0,existing paid,radio/tv,<100,>=7,male single,unskilled resident,1203.8,good
no checking,critical/other existing credit,business,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,409.48,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,skilled,349.65,good
0<=X<200,existing paid,education,100<=X<500,1<=X<4,male single,skilled,5927.64,bad
<0,existing paid,new car,100<=X<500,4<=X<7,male single,high qualif/self emp/mgmt,674.7,good
<0,no credits/all paid,repairs,<100,4<=X<7,male single,skilled,310.24,bad
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,346.08,good
<0,critical/other existing credit,used car,<100,>=7,male single,skilled,760.86,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,female div/sep/mar,unskilled resident,263.01,bad
>=200,critical/other existing credit,furniture/equipment,unknown,>=7,male single,skilled,723.4,good
0<=X<200,existing paid,new car,>=1000,>=7,male single,skilled,711.72,good
0<=X<200,no credits/all paid,business,<100,<1,male single,skilled,9248.1,bad
no checking,critical/other existing credit,education,unknown,4<=X<7,female div/sep/mar,skilled,1227.32,good
0<=X<200,existing paid,business,100<=X<500,1<=X<4,male single,skilled,891.48,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,841.32,good
