Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Class
<0,critical/other existing credit,furniture/equipment,0.05845,unknown,>=7,male single,0.67,skilled,good
0<=X<200,existing paid,furniture/equipment,0.29755,<100,1<=X<4,female div/sep/mar,0.22,skilled,bad
no checking,critical/other existing credit,education,0.1048,<100,4<=X<7,male single,0.49,unskilled resident,good
<0,existing paid,furniture/equipment,0.3941,<100,4<=X<7,male single,0.45,skilled,good
<0,delayed previously,new car,0.2435,<100,1<=X<4,male single,0.53,skilled,bad
no checking,existing paid,education,0.45275,unknown,1<=X<4,male single,0.35,unskilled resident,good
no checking,existing paid,furniture/equipment,0.14175,500<=X<1000,>=7,male single,0.53,skilled,good
0<=X<200,existing paid,used car,0.3474,<100,1<=X<4,male single,0.35,high qualif/self emp/mgmt,good
no checking,existing paid,furniture/equipment,0.15295,>=1000,4<=X<7,male mar/wid/div/sep,0.61,unskilled resident,good
0<=X<200,critical/other existing credit,new car,0.2617,<100,unemployed,male mar/wid/div/sep,0.28,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,0.06475,<100,<1,female div/sep/mar,0.25,skilled,bad
<0,existing paid,business,0.2154,<100,<1,female div/sep/mar,0.24,skilled,bad
0<=X<200,existing paid,furniture/equipment,0.07835,<100,1<=X<4,female div/sep/mar,0.22,skilled,good
<0,critical/other existing credit,new car,0.05995,<100,>=7,male single,0.6,unskilled resident,bad
<0,existing paid,new car,0.07015,<100,1<=X<4,female div/sep/mar,0.28,skilled,good
<0,existing paid,furniture/equipment,0.0641,100<=X<500,1<=X<4,female div/sep/mar,0.32,unskilled resident,bad
no checking,critical/other existing credit,furniture/equipment,0.1212,unknown,>=7,male single,0.53,skilled,good
<0,no credits/all paid,business,0.4036,unknown,<1,male single,0.25,skilled,good
0<=X<200,existing paid,used car,0.62895,<100,>=7,female div/sep/mar,0.44,high qualif/self emp/mgmt,bad
no checking,existing paid,furniture/equipment,0.1715,500<=X<1000,>=7,male single,0.31,skilled,good
no checking,critical/other existing credit,new car,0.1067,<100,1<=X<4,male single,0.48,skilled,good
<0,existing paid,furniture/equipment,0.13235,500<=X<1000,1<=X<4,male single,0.44,skilled,good
