Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Class
<0,critical/other existing credit,radio/tv,1169,unknown,>=7,single,67,skilled,good
0<=X<200,existing paid,radio/tv,5951,<100,<4,mar/wid/div/sep,22,skilled,bad
no checking,critical/other existing credit,education,2096,<100,4<=X<7,single,49,unskilled,good
<0,existing paid,furniture/equipment,7882,<100,4<=X<7,single,45,skilled,good
<0,delayed previously,new car,4870,<100,<4,single,53,skilled,bad
no checking,existing paid,education,9055,unknown,<4,single,35,unskilled,good
no checking,existing paid,furniture/equipment,2835,>=500,>=7,single,53,skilled,good
0<=X<200,existing paid,used car,6948,<100,<4,single,35,high qualif/self emp/mgmt',good
no checking,existing paid,radio/tv,3059,>=500,4<=X<7,mar/wid/div/sep,61,unskilled,good
0<=X<200,critical/other existing credit,new car,5234,<100,unemployed,mar/wid/div/sep,28,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,1295,<100,<4,mar/wid/div/sep,25,skilled,bad
<0,existing paid,business,4308,<100,<4,mar/wid/div/sep,24,skilled,bad
0<=X<200,existing paid,radio/tv,1567,<100,<4,mar/wid/div/sep,22,skilled,good
<0,critical/other existing credit,new car,1199,<100,>=7,single,60,unskilled,bad
<0,existing paid,new car,1403,<100,<4,mar/wid/div/sep,28,skilled,good
<0,existing paid,radio/tv,1282,100<=X<500,<4,mar/wid/div/sep,32,unskilled,bad
no checking,critical/other existing credit,radio/tv,2424,unknown,>=7,single,53,skilled,good
<0,no credits/all paid,business,8072,unknown,<4,single,25,skilled,good
0<=X<200,existing paid,used car,12579,<100,>=7,mar/wid/div/sep,44,high qualif/self emp/mgmt,bad
no checking,existing paid,radio/tv,3430,>=500,>=7,single,31,skilled,good
no checking,critical/other existing credit,new car,2134,<100,<4,single,48,skilled,good
<0,existing paid,radio/tv,2647,>=500,<4,single,44,skilled,good
<0,critical/other existing credit,new car,2241,<100,<4,single,48,unskilled,good
0<=X<200,critical/other existing credit,used car,1804,100<=X<500,<4,single,44,skilled,good
no checking,critical/other existing credit,furniture/equipment,2069,unknown,<4,mar/wid/div/sep,26,skilled,good
<0,existing paid,furniture/equipment,1374,<100,<4,single,60,unskilled,good
no checking,no credits/all paid,radio/tv,426,<100,>=7,mar/wid/div/sep,39,unskilled,good
>=200,no credits/all paid,radio/tv,409,>=500,<4,mar/wid/div/sep,42,skilled,good
0<=X<200,existing paid,radio/tv,2415,<100,<4,single,34,skilled,good
<0,delayed previously,business,6836,<100,>=7,single,63,skilled,bad
0<=X<200,existing paid,business,1913,>=500,<4,mar/wid/div/sep,36,skilled,good
<0,existing paid,furniture/equipment,4020,<100,<4,single,27,skilled,good
0<=X<200,existing paid,new car,5866,100<=X<500,<4,single,30,skilled,good
no checking,critical/other existing credit,business,1264,unknown,>=7,single,57,unskilled,good
>=200,existing paid,furniture/equipment,1474,<100,<4,mar/wid/div/sep,33,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,radio/tv,4746,<100,<4,single,25,unskilled,bad
no checking,critical/other existing credit,education,6110,<100,<4,single,31,skilled,good
>=200,existing paid,radio/tv,2100,<100,<4,single,37,skilled,bad
>=200,existing paid,furniture/equipment,1225,<100,<4,single,37,skilled,good
0<=X<200,existing paid,radio/tv,458,<100,<4,single,24,skilled,good
no checking,existing paid,radio/tv,2333,>=500,>=7,single,30,high qualif/self emp/mgmt,good
0<=X<200,existing paid,radio/tv,1158,>=500,<4,mar/wid/div/sep,26,skilled,good
0<=X<200,delayed previously,repairs,6204,<100,<4,single,44,unskilled,good
<0,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,mar/wid/div/sep,24,skilled,good
<0,critical/other existing credit,used car,6143,<100,>=7,mar/wid/div/sep,58,unskilled,bad
no checking,critical/other existing credit,new car,1393,<100,<4,mar/wid/div/sep,35,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,2299,>=500,>=7,single,39,skilled,good
<0,existing paid,used car,1352,>=500,unemployed,mar/wid/div/sep,23,unskilled,good
no checking,critical/other existing credit,new car,7228,<100,<4,single,39,unskilled,good
no checking,existing paid,radio/tv,2073,100<=X<500,<4,mar/wid/div/sep,28,skilled,good
0<=X<200,delayed previously,furniture/equipment,2333,unknown,<4,single,29,unskilled,good
0<=X<200,delayed previously,used car,5965,<100,>=7,single,30,high qualif/self emp/mgmt,good
no checking,existing paid,radio/tv,1262,<100,<4,single,25,skilled,good
no checking,existing paid,used car,3378,unknown,<4,single,25,skilled,good
0<=X<200,delayed previously,new car,2225,<100,>=7,single,57,skilled,bad
no checking,no credits/all paid,new car,783,unknown,<4,single,26,unskilled,good
0<=X<200,existing paid,radio/tv,6468,unknown,unemployed,single,52,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,radio/tv,9566,<100,<4,mar/wid/div/sep,31,skilled,good
>=200,existing paid,new car,1961,<100,>=7,mar/wid/div/sep,23,high qualif/self emp/mgmt,good
<0,critical/other existing credit,furniture/equipment,6229,<100,<4,mar/wid/div/sep,23,unskilled,bad
0<=X<200,existing paid,business,1391,<100,<4,mar/wid/div/sep,27,skilled,good
0<=X<200,critical/other existing credit,radio/tv,1537,unknown,>=7,single,50,skilled,good
0<=X<200,no credits/all paid,business,1953,<100,>=7,single,61,high qualif/self emp/mgmt,bad
0<=X<200,no credits/all paid,business,14421,<100,<4,single,25,skilled,bad
no checking,existing paid,radio/tv,3181,<100,<4,mar/wid/div/sep,26,skilled,good
no checking,existing paid,repairs,5190,unknown,>=7,single,48,skilled,good
no checking,existing paid,radio/tv,2171,<100,<4,mar/wid/div/sep,29,skilled,good
0<=X<200,existing paid,new car,1007,>=500,<4,mar/wid/div/sep,22,skilled,good
no checking,existing paid,education,1819,<100,<4,single,37,skilled,bad
no checking,existing paid,radio/tv,2394,unknown,<4,mar/wid/div/sep,25,skilled,good
no checking,existing paid,used car,8133,<100,<4,mar/wid/div/sep,30,skilled,good
no checking,critical/other existing credit,radio/tv,730,unknown,>=7,single,46,unskilled,good
<0,critical/other existing credit,other,1164,<100,>=7,single,51,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,business,5954,<100,4<=X<7,mar/wid/div/sep,41,unskilled,good
<0,existing paid,education,1977,unknown,>=7,single,40,high qualif/self emp/mgmt,bad
<0,critical/other existing credit,used car,1526,<100,>=7,single,66,high qualif/self emp/mgmt,good
<0,existing paid,radio/tv,3965,<100,<4,single,34,skilled,bad
0<=X<200,delayed previously,radio/tv,4771,<100,4<=X<7,single,51,skilled,good
no checking,no credits/all paid,used car,9436,unknown,<4,single,39,unskilled,good
0<=X<200,existing paid,furniture/equipment,3832,<100,<4,mar/wid/div/sep,22,skilled,good
no checking,existing paid,radio/tv,5943,unknown,<4,mar/wid/div/sep,44,skilled,bad
no checking,existing paid,radio/tv,1213,>=500,>=7,single,47,skilled,good
no checking,existing paid,business,1568,100<=X<500,<4,mar/wid/div/sep,24,unskilled,good
<0,existing paid,other,1755,<100,>=7,mar/wid/div/sep,58,unskilled,good
<0,existing paid,radio/tv,2315,<100,>=7,single,52,unskilled,good
no checking,critical/other existing credit,business,1412,<100,<4,mar/wid/div/sep,29,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,furniture/equipment,1295,<100,<4,mar/wid/div/sep,27,skilled,good
0<=X<200,existing paid,education,12612,100<=X<500,<4,single,47,skilled,bad
<0,existing paid,new car,2249,100<=X<500,4<=X<7,single,30,high qualif/self emp/mgmt,good
<0,no credits/all paid,repairs,1108,<100,4<=X<7,single,28,skilled,bad
no checking,critical/other existing credit,radio/tv,618,<100,>=7,single,56,skilled,good
<0,critical/other existing credit,used car,1409,<100,>=7,single,54,skilled,good
no checking,critical/other existing credit,radio/tv,797,unknown,>=7,mar/wid/div/sep,33,unskilled,bad
>=200,critical/other existing credit,furniture/equipment,3617,unknown,>=7,single,20,skilled,good
0<=X<200,existing paid,new car,1318,>=500,>=7,single,54,skilled,good
0<=X<200,no credits/all paid,business,15945,<100,<4,single,58,skilled,bad
no checking,critical/other existing credit,education,2012,unknown,4<=X<7,mar/wid/div/sep,61,skilled,good
0<=X<200,existing paid,business,2622,100<=X<500,<4,single,34,skilled,good
0<=X<200,critical/other existing credit,radio/tv,2337,<100,>=7,single,36,skilled,good
0<=X<200,delayed previously,used car,7057,unknown,4<=X<7,single,36,high qualif/self emp/mgmt,good
no checking,existing paid,new car,1469,100<=X<500,>=7,mar/wid/div/sep,41,unskilled,good
0<=X<200,existing paid,radio/tv,2323,<100,4<=X<7,single,24,skilled,good
no checking,delayed previously,radio/tv,932,<100,<4,mar/wid/div/sep,24,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,1919,<100,4<=X<7,single,35,skilled,good
no checking,existing paid,used car,2445,unknown,<4,mar/wid/div/sep,26,skilled,good
0<=X<200,critical/other existing credit,other,11938,<100,<4,single,39,high qualif/self emp/mgmt,bad
no checking,no credits/all paid,new car,6458,<100,>=7,single,39,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,6078,<100,4<=X<7,single,32,skilled,good
<0,existing paid,furniture/equipment,7721,unknown,<4,mar/wid/div/sep,30,skilled,good
0<=X<200,existing paid,business,1410,>=500,>=7,mar/wid/div/sep,35,skilled,good
0<=X<200,delayed previously,business,1449,100<=X<500,>=7,mar/wid/div/sep,31,skilled,good
>=200,existing paid,education,392,<100,<4,mar/wid/div/sep,23,skilled,good
0<=X<200,existing paid,new car,6260,<100,4<=X<7,single,28,unskilled,good
no checking,critical/other existing credit,new car,7855,<100,<4,mar/wid/div/sep,25,skilled,bad
<0,existing paid,radio/tv,1680,>=500,>=7,mar/wid/div/sep,35,skilled,good
no checking,critical/other existing credit,radio/tv,3578,unknown,>=7,single,47,skilled,good
<0,existing paid,radio/tv,7174,unknown,4<=X<7,mar/wid/div/sep,30,high qualif/self emp/mgmt,bad
<0,critical/other existing credit,furniture/equipment,2132,unknown,<4,mar/wid/div/sep,27,skilled,good
<0,critical/other existing credit,furniture/equipment,4281,>=500,<4,mar/wid/div/sep,23,skilled,bad
0<=X<200,critical/other existing credit,new car,2366,>=500,4<=X<7,mar/wid/div/sep,36,high qualif/self emp/mgmt,good
<0,existing paid,radio/tv,1835,<100,<4,mar/wid/div/sep,25,skilled,bad
no checking,critical/other existing credit,used car,3868,<100,>=7,mar/wid/div/sep,41,high qualif/self emp/mgmt,good
no checking,existing paid,furniture/equipment,1768,<100,<4,single,24,unskilled,good
>=200,critical/other existing credit,new car,781,<100,>=7,single,63,skilled,good
0<=X<200,existing paid,furniture/equipment,1924,unknown,<4,mar/wid/div/sep,27,skilled,bad
<0,critical/other existing credit,new car,2121,<100,<4,single,30,skilled,good
<0,existing paid,radio/tv,701,<100,<4,mar/wid/div/sep,40,unskilled,good
0<=X<200,existing paid,repairs,639,<100,<4,single,30,skilled,bad
0<=X<200,critical/other existing credit,used car,1860,<100,unemployed,single,34,high qualif/self emp/mgmt,good
<0,critical/other existing credit,new car,3499,<100,<4,mar/wid/div/sep,29,skilled,bad
0<=X<200,existing paid,new car,8487,unknown,4<=X<7,mar/wid/div/sep,24,skilled,good
<0,delayed previously,education,6887,<100,<4,single,29,skilled,bad
no checking,existing paid,furniture/equipment,2708,<100,<4,single,27,unskilled,good
no checking,existing paid,furniture/equipment,1984,<100,<4,single,47,skilled,good
